Facility Name,Facility Owner,Facility Type,Infrastructure Type,Address,Suburb,LGA,Latitude,Longitude
Moyhu Transfer Station,Wangaratta Rural City Council,Resource Recovery Centre,Transfer station,569 Boggy Creek Road,Moyhu,Wangaratta,-36.63578703,146.3520599
Moyston Resource Recovery Centre,Ararat Rural City Council,Resource Recovery Centre,Transfer station,Rubbish Tip Road,Moyston,Ararat,-37.29171,142.7344
Mount Egerton Transfer Station,Moorabool Shire Council,Resource Recovery Centre,Transfer station,Corner Ballan-Egerton Road & Yendon-Egerton Road,Mount Egerton,Moorabool,-37.633779,144.107514
Mt Hotham Resource Recovery Centre,Mount Hotham Alpine Resort Management Board,Resource Recovery Centre,Transfer station,4 Workshop Access,Hotham,Mt Hotham,-37.097257,147.422711
Murchison Resource Recovery Centre,Greater Shepparton City Council,Resource Recovery Centre,Transfer station,15 Cassidy Road,Murchison,Greater Shepparton,-36.62383978,145.1917805
Murrayville Transfer Station,Mildura Rural City Council,Resource Recovery Centre,Transfer station,Recreation Road,Murrayville,Mildura,-35.257509,141.178252
Murtoa Transfer Station & Resource Recovery Centre,Yarriambiack Shire Council,Resource Recovery Centre,Transfer station,1281 Wimmera Highway,Murtoa,Yarriambiack,-36.62198333,142.4967
Myrtleford Transfer Station,Alpine Shire Council,Resource Recovery Centre,Transfer station,6 Morrisons Lane,Myrtleford,Alpine,-36.54316,146.762195
Nagambie Resource Recovery Centre,Strathbogie Shire Council,Resource Recovery Centre,Transfer station,854 McDonalds Road,Nagambie,Strathbogie,-36.79472644,145.1950465
Nangiloc Transfer Station,Mildura Rural City Council,Resource Recovery Centre,Transfer station,Castle Crossing Road,Nangiloc,Mildura,-34.49881,142.358744
Nathalia Resource Recovery Centre,Moira Shire Council,Resource Recovery Centre,Transfer station,26 Balls Road,Nathalia,Moira,-36.08152892,145.1861061
Neerim South Transfer Station,Baw Baw Shire Council,Resource Recovery Centre,Transfer station,Neerim East Road,Neerim South,Baw Baw,-38.00929,145.96819
Nelson Resource Recovery Centre,Glenelg Shire Council,Resource Recovery Centre,Transfer station,162 North Nelson Road,Nelson,Glenelg,-38.03253,141.00985
Newbridge Landfill,Loddon Shire Council,Landfill,Landfill unlicensed,Ryan Street,Newbridge,Loddon,-36.743602,143.890383
Nhill Transfer Station,Hindmarsh Shire Council,Resource Recovery Centre,Transfer station,Nhill-Netherby Road,Nhill,Hindmarsh,-36.31796,141.6637
Nillumbik Recycling Centre,Nillumbik Shire Council,Resource Recovery Centre,Transfer station,290 Yan Yean Road,Plenty,Nillumbik,-37.654946,145.126088
North Geelong Resource Recovery Centre and Transfer Station,Greater Geelong City Council,Resource Recovery Centre,Transfer station,100 Duoro Street,North Geelong,Greater Geelong,-38.115341,144.349435
Numurkah Transfer Station,Moira Shire Council,Resource Recovery Centre,Transfer station,367 Naring Road,Numurkah,Moira,-36.0679597,145.4915539
Omeo Transfer Station,East Gippsland Shire Council,Resource Recovery Centre,Transfer station,18 Margetts Street,Omeo,East Gippsland,-37.099722,147.604601
Orbost Transfer Station,East Gippsland Shire Council,Resource Recovery Centre,Transfer station,351 Bonang Road,Orbost,East Gippsland,-37.672272,148.472983
Ouyen Landfill,Mildura Rural City Council,Landfill,Landfill unlicensed,Dunkley Road,Ouyen,Mildura,-35.094,142.327337
Patchewollock Transfer Station,Yarriambiack Shire Council,Resource Recovery Centre,Transfer station,38 Patchewollock Tip Road,Patchewollock,Yarriambiack,-35.371129,142.20475
